Node ID: 7
Fast node: 0
High_cpu: 1
Peers:
	 Node id: 0 Propagation delay: 190 ms Link speed: 5000
	 Node id: 4 Propagation delay: 331 ms Link speed: 5000
	 Node id: 5 Propagation delay: 486 ms Link speed: 5000
	 Node id: 8 Propagation delay: 331 ms Link speed: 5000
	 Node id: 9 Propagation delay: 289 ms Link speed: 5000
Transactions received: 23955
Blocks received: 42
Blocks mined: 4
Blocks mined in longest chain: 4
Number of blocks in longest chain: 46
Fraction of blocks mined in longest chain: 0.0869565
Blockchain: 
Block_id, parent_block_id, first_seen_time, number_of_transactions, part_of_longest, mined by node
0, -1, 0, 10, 1, 0
1, 0, 369060, 2, 1, 0
21, 1, 1247845, 33, 1, 1
40, 21, 2900558, 1000, 1, 0
54, 40, 3785955, 704, 1, 0
70, 54, 4822054, 1000, 1, 1
88, 70, 5353501, 1000, 1, 0
97, 88, 5646448, 42, 1, 1
107, 97, 8213209, 623, 1, 1
129, 107, 8629920, 575, 1, 0
144, 129, 12618063, 480, 1, 0
160, 144, 16455406, 28, 1, 0
176, 160, 23636032, 33, 1, 0
211, 176, 31528532, 53, 1, 0
225, 211, 38978587, 186, 1, 0
236, 225, 42456221, 43, 1, 0
247, 236, 43522660, 438, 1, 0
257, 247, 47767368, 2, 1, 0
290, 257, 57804166, 601, 1, 0
301, 290, 61330309, 5, 1, 0
307, 301, 62411576, 62, 1, 0
322, 307, 67419569, 95, 1, 0
334, 322, 73102276, 454, 1, 0
344, 334, 75973824, 428, 1, 0
354, 344, 78738036, 59, 1, 0
361, 354, 86478104, 417, 1, 0
383, 361, 100927644, 584, 1, 0
404, 383, 105544503, 248, 1, 0
410, 404, 107686047, 19, 1, 0
413, 410, 122237044, 510, 1, 0
421, 413, 129081356, 7, 1, 0
438, 421, 137355805, 237, 1, 0
440, 438, 138962006, 224, 1, 0
445, 440, 144014864, 632, 1, 0
457, 445, 152491678, 898, 1, 0
473, 457, 181471660, 582, 1, 0
476, 473, 196401447, 540, 1, 0
483, 476, 199309089, 2, 1, 0
485, 483, 228935778, 521, 1, 0
490, 485, 251272522, 8, 1, 0
494, 490, 267756325, 462, 1, 0
497, 494, 280297644, 1000, 1, 0
498, 497, 284076364, 2, 1, 0
499, 498, 290561767, 3, 1, 0
500, 499, 303617449, 722, 1, 0
501, 500, 332345260, 252, 1, 0
